review,positive_or_negative
pleasantly surprised fresh salad staff friendly attentive better than expected atmosphere relaxed pleasant left satisfied,positive
great experience grilled chicken texture excellent staff friendly attentive tables clean music nice left satisfied,positive
table dirty when arrived disappointed breakfast presentation careless food tasted worse service felt disorganized will not order again btw,negative
impressed cheesecake flavorful cooked perfectly team handled everything smoothly tables clean music nice will order again,positive
pleasantly surprised breakfast staff friendly attentive presentation beautiful taste matched comfortable place dinner everything came out nicely timed great value price,positive
one best things here seafood platter because ingredients tasted high quality everyone welcoming helpful will order again meal satisfying from start finish href,positive
happily recommend lentil soup portion generous fresh greeted warmly served quickly atmosphere relaxed pleasant solid choice dinner,positive
uncomfortable crowded really unhappy coffee flavors unbalanced disappointing waited far too long before anyone helped choose another restaurant next time,negative
table dirty when arrived not recommend burger flavors unbalanced disappointing nobody seemed interested helping definitely not worth price,negative
comfortable place dinner happily recommend grilled chicken ingredients tasted high quality everyone welcoming helpful solid choice dinner,positive
one best things here steak because texture excellent everyone welcoming helpful solid choice dinner flavors memorable,positive
not impressed chocolate cake overcooked lacked flavor place looked poorly maintained service extremely slow poor value money honestly,negative
absolutely loved coffee texture excellent comfortable place dinner service quick professional left satisfied,positive
disappointed sandwiches presentation careless food tasted worse table dirty when arrived service extremely slow will not order again,negative
such good experience burger portion generous fresh place felt welcoming well maintained team handled everything smoothly definitely worth visit,positive
great experience breakfast fresh tasty filling tables clean music nice team h led everything smoothly will order again,positive
really unhappy burger texture unpleasant service extremely slow atmosphere noisy unpleasant poor value money,negative
unfortunately disliked vegetable couscous service extremely slow arrived cold looked unappetizing place looked poorly maintained several things went wrong during visit left disappointed idk,negative
such good experience fresh salad because portion generous fresh waiter checked right time left satisfied quality consistent throughout meal,positive
loved coffee staff friendly attentive flavors balanced satisfying place felt welcoming well maintained come back,positive
great experience seafood platter flavors balanced satisfying atmosphere relaxed pleasant staff friendly attentive great value price,positive
poor experience grilled chicken presentation careless food tasted worse ask several times basic things uncomfortable crowded will not order again,negative
regret ordering coffee ask several times basic things greasy not enjoyable table dirty when arrived left disappointed,negative
really enjoyed breakfast flavorful cooked perfectly service quick professional tables clean music nice will order again,positive
one best things here fresh salad because ingredients tasted high quality waiter checked right time come back meal satisfying from start finish,positive
pleasantly surprised chocolate cake portion generous fresh everyone welcoming helpful tables clean music nice definitely worth visit,positive
happily recommend lemonade arrived hot looked great place felt welcoming well maintained staff friendly attentive great value price,positive
pleasantly surprised grilled chicken because presentation beautiful taste matched staff friendly attentive solid choice dinner meal satisfying from start finish,positive
impressed burger presentation beautiful taste matched staff friendly attentive comfortable place dinner come back,positive
poor experience fries much worse than expected service felt disorganized atmosphere noisy unpleasant poor value money btw,negative
frustrated chocolate cake ask several times basic things flavors unbalanced disappointing uncomfortable crowded quality inconsistent choose another restaurant next time,negative
regret ordering coffee bland poorly cooked staff rude inattentive uncomfortable crowded choose another restaurant next time,negative
not impressed steak because portion small disappointing staff rude inattentive choose another restaurant next time several things went wrong during visit,negative
such good experience seafood platter better than expected comfortable place dinner team handled everything smoothly will order again,positive
great experience grilled chicken because fresh tasty filling greeted warmly served quickly left satisfied everything came out nicely timed,positive
not impressed grilled chicken overcooked lacked flavor table dirty when arrived waited far too long before anyone helped will not order again,negative
disappointed vegetable couscous service extremely slow overcooked lacked flavor table dirty when arrived quality inconsistent choose another restaurant next time,negative
not impressed fresh salad service felt disorganized texture unpleasant uncomfortable crowded price did not match quality definitely not worth price,negative
place felt welcoming well maintained great experience steak better than expected greeted warmly served quickly left satisfied href,positive
disappointed fries because portion small disappointing service extremely slow will not order again meal disappointing from start finish,negative
really enjoyed vegetable couscous because texture excellent team handled everything smoothly will order again flavors memorable,positive
great experience cheesecake flavorful cooked perfectly greeted warmly served quickly place felt welcoming well maintained come back,positive
such good experience breakfast flavorful cooked perfectly everyone welcoming helpful dining room clean comfortable left satisfied,positive
not impressed cheesecake ingredients did not taste fresh table dirty when arrived staff rude inattentive definitely not worth price,negative
loved cheesecake because everything tasted fresh well seasoned staff friendly attentive great value price flavors memorable,positive
disappointed fries staff rude inattentive much worse than expected place looked poorly maintained expected much better money definitely not worth price,negative
table dirty when arrived not impressed fries greasy not enjoyable waited far too long before anyone helped choose another restaurant next time honestly,negative
absolutely loved fresh salad texture excellent atmosphere relaxed pleasant everyone welcoming helpful definitely worth visit,positive
dining room dirty uncomfortable not impressed pizza arrived cold looked unappetizing waited far too long before anyone helped will not order again,negative
place looked poorly maintained not recommend chocolate cake portion small disappointing service extremely slow poor value money,negative
absolutely loved sandwiches because fresh tasty filling service quick professional come back everything came out nicely timed,positive
place looked poorly maintained disappointed lentil soup texture unpleasant service extremely slow not come back,negative
really enjoyed lemonade flavorful cooked perfectly atmosphere relaxed pleasant greeted warmly served quickly solid choice dinner,positive
impressed fries presentation beautiful taste matched everyone welcoming helpful place felt welcoming well maintained solid choice dinner,positive
disappointed grilled chicken because presentation careless food tasted worse ask several times basic things choose another restaurant next time quality inconsistent,negative
uncomfortable crowded not recommend sandwiches flavors unbalanced disappointing ask several times basic things definitely not worth price,negative
disappointed pasta ask several times basic things ingredients did not taste fresh uncomfortable crowded several things went wrong during visit poor value money,negative
bad experience fries overcooked lacked flavor ask several times basic things atmosphere noisy unpleasant poor value money,negative
happy burger flavorful cooked perfectly comfortable place dinner waiter checked right time great value price,positive
not impressed coffee overcooked lacked flavor waited far too long before anyone helped atmosphere noisy unpleasant poor value money,negative
happy coffee fresh tasty filling comfortable place dinner waiter checked right time solid choice dinner,positive
table dirty when arrived disappointed cheesecake portion small disappointing nobody seemed interested helping definitely not worth price,negative
disappointed burger waited far too long before anyone helped greasy not enjoyable uncomfortable crowded several things went wrong during visit not come back honestly,negative
dining room dirty uncomfortable poor experience lentil soup ingredients did not taste fresh ask several times basic things choose another restaurant next time,negative
impressed fresh salad staff friendly attentive texture excellent atmosphere relaxed pleasant everything came out nicely timed great value price,positive
happily recommend sandwiches service quick professional texture excellent place felt welcoming well maintained meal satisfying from start finish solid choice dinner,positive
bad experience grilled chicken ask several times basic things portion small disappointing place looked poorly maintained not come back honestly,negative
happy breakfast texture excellent tables clean music nice everyone welcoming helpful solid choice dinner href,positive
place looked poorly maintained disappointed chocolate cake arrived cold looked unappetizing waited far too long before anyone helped not come back,negative
impressed chocolate cake because presentation beautiful taste matched staff friendly attentive will order again,positive
absolutely loved pasta greeted warmly served quickly ingredients tasted high quality atmosphere relaxed pleasant everything came out nicely timed great value price,positive
not recommend fresh salad arrived cold looked unappetizing dining room dirty uncomfortable service felt disorganized will not order again honestly,negative
table dirty when arrived not impressed steak much worse than expected service extremely slow definitely not worth price,negative
tables clean music nice pleasantly surprised pasta fresh tasty filling staff friendly attentive great value price,positive
not impressed lentil soup portion small disappointing place looked poorly maintained service felt disorganized will not order again honestly,negative
really unhappy sandwiches because bland poorly cooked nobody seemed interested helping poor value money quality inconsistent,negative
loved burger texture excellent dining room clean comfortable service quick professional great value price,positive
frustrated lentil soup much worse than expected dining room dirty uncomfortable waited far too long before anyone helped choose another restaurant next time,negative
dining room dirty uncomfortable disappointed breakfast greasy not enjoyable service felt disorganized poor value money,negative
not impressed fries much worse than expected atmosphere noisy unpleasant waited far too long before anyone helped will not order again,negative
dining room dirty uncomfortable frustrated fries greasy not enjoyable nobody seemed interested helping will not order again,negative
really unhappy coffee service felt disorganized texture unpleasant uncomfortable crowded quality inconsistent not come back,negative
such good experience pizza portion generous fresh staff friendly attentive place felt welcoming well maintained solid choice dinner,positive
happy steak flavors balanced satisfying tables clean music nice waiter checked right time will order again,positive
disappointed pizza portion small disappointing nobody seemed interested helping uncomfortable crowded not come back,negative
unfortunately disliked pizza greasy not enjoyable staff rude inattentive dining room dirty uncomfortable not come back,negative
really unhappy grilled chicken because overcooked lacked flavor waited far too long before anyone helped poor value money expected much better money,negative
absolutely loved grilled chicken better than expected service quick professional tables clean music nice will order again,positive
atmosphere relaxed pleasant pleasantly surprised breakfast better than expected waiter checked right time come back,positive
one best things here seafood platter texture excellent service quick professional place felt welcoming well maintained left satisfied,positive
disappointed steak portion small disappointing waited far too long before anyone helped atmosphere noisy unpleasant not come back,negative
place looked poorly maintained not recommend seafood platter flavors unbalanced disappointing service felt disorganized definitely not worth price,negative
regret ordering pasta texture unpleasant table dirty when arrived service felt disorganized definitely not worth price btw,negative
poor experience cheesecake because ingredients did not taste fresh service extremely slow not come back several things went wrong during visit honestly,negative
pleasantly surprised burger ingredients tasted high quality everyone welcoming helpful comfortable place dinner great value price,positive
place looked poorly maintained bad experience chocolate cake much worse than expected service felt disorganized definitely not worth price,negative
poor experience pizza bland poorly cooked table dirty when arrived ask several times basic things poor value money,negative
frustrated fries service felt disorganized bland poorly cooked table dirty when arrived several things went wrong during visit definitely not worth price idk,negative
disappointed seafood platter bland poorly cooked service extremely slow place looked poorly maintained choose another restaurant next time,negative
regret ordering burger staff rude inattentive portion small disappointing dining room dirty uncomfortable price did not match quality left disappointed,negative
regret ordering seafood platter because flavors unbalanced disappointing nobody seemed interested helping left disappointed expected much better money,negative
one best things here grilled chicken team handled everything smoothly presentation beautiful taste matched place felt welcoming well maintained quality consistent throughout meal definitely worth visit,positive
such good experience chocolate cake ingredients tasted high quality atmosphere relaxed pleasant everyone welcoming helpful come back,positive
really unhappy chocolate cake because flavors unbalanced disappointing staff rude inattentive will not order again,negative
poor experience vegetable couscous because ingredients did not taste fresh service felt disorganized not come back meal disappointing from start finish,negative
not recommend burger overcooked lacked flavor table dirty when arrived staff rude inattentive will not order again,negative
not impressed pizza ingredients did not taste fresh nobody seemed interested helping atmosphere noisy unpleasant choose another restaurant next time,negative
such good experience vegetable couscous texture excellent comfortable place dinner staff friendly attentive definitely worth visit,positive
absolutely loved chocolate cake ingredients tasted high quality waiter checked right time atmosphere relaxed pleasant great value price,positive
frustrated steak overcooked lacked flavor staff rude inattentive dining room dirty uncomfortable poor value money,negative
place felt welcoming well maintained one best things here grilled chicken better than expected waiter checked right time left satisfied,positive
such good experience fries because better than expected everyone welcoming helpful will order again meal satisfying from start finish,positive
poor experience lemonade because texture unpleasant service felt disorganized not come back meal disappointing from start finish honestly,negative
not recommend breakfast presentation careless food tasted worse table dirty when arrived service felt disorganized choose another restaurant next time,negative
uncomfortable crowded really unhappy burger ingredients did not taste fresh service felt disorganized will not order again,negative
unfortunately disliked seafood platter waited far too long before anyone helped arrived cold looked unappetizing place looked poorly maintained price did not match quality not come back,negative
pleasantly surprised grilled chicken because texture excellent staff friendly attentive left satisfied everything came out nicely timed,positive
not recommend pasta nobody seemed interested helping arrived cold looked unappetizing place looked poorly maintained meal disappointing from start finish left disappointed,negative
frustrated cheesecake because ingredients did not taste fresh nobody seemed interested helping poor value money meal disappointing from start finish,negative
regret ordering pasta ingredients did not taste fresh dining room dirty uncomfortable ask several times basic things will not order again,negative
disappointed pasta because portion small disappointing nobody seemed interested helping left disappointed expected much better money,negative
loved burger flavorful cooked perfectly atmosphere relaxed pleasant greeted warmly served quickly come back,positive
poor experience seafood platter because ingredients did not taste fresh service felt disorganized definitely not worth price price did not match quality honestly,negative
unfortunately disliked vegetable couscous nobody seemed interested helping greasy not enjoyable uncomfortable crowded quality inconsistent not come back idk,negative
great experience fresh salad because everything tasted fresh well seasoned staff friendly attentive left satisfied quality consistent throughout meal,positive
atmosphere relaxed pleasant one best things here lentil soup flavors balanced satisfying waiter checked right time definitely worth visit,positive
great experience sandwiches because better than expected team handled everything smoothly solid choice dinner flavors memorable,positive
not impressed coffee ask several times basic things ingredients did not taste fresh dining room dirty uncomfortable choose another restaurant next time,negative
disappointed grilled chicken because overcooked lacked flavor staff rude inattentive choose another restaurant next time several things went wrong during visit,negative
happily recommend breakfast staff friendly attentive ingredients tasted high quality tables clean music nice meal satisfying from start finish great value price,positive
impressed vegetable couscous ingredients tasted high quality place felt welcoming well maintained waiter checked right time great value price href,positive
bad experience cheesecake presentation careless food tasted worse place looked poorly maintained staff rude inattentive definitely not worth price,negative
disappointed breakfast portion small disappointing service extremely slow dining room dirty uncomfortable poor value money,negative
uncomfortable crowded disappointed chocolate cake presentation careless food tasted worse service extremely slow left disappointed,negative
disappointed fresh salad flavors unbalanced disappointing waited far too long before anyone helped uncomfortable crowded will not order again,negative
really enjoyed breakfast greeted warmly served quickly flavors balanced satisfying dining room clean comfortable everything came out nicely timed solid choice dinner,positive
place looked poorly maintained not impressed fries presentation careless food tasted worse staff rude inattentive poor value money,negative
frustrated steak presentation careless food tasted worse place looked poorly maintained ask several times basic things choose another restaurant next time idk,negative
not recommend coffee waited far too long before anyone helped much worse than expected dining room dirty uncomfortable expected much better money poor value money,negative
atmosphere relaxed pleasant really enjoyed steak better than expected team handled everything smoothly great value price,positive
pleasantly surprised lentil soup ingredients tasted high quality tables clean music nice everyone welcoming helpful definitely worth visit,positive
not impressed grilled chicken staff rude inattentive arrived cold looked unappetizing place looked poorly maintained will not order again,negative
great experience steak staff friendly attentive better than expected tables clean music nice meal satisfying from start finish definitely worth visit,positive
disappointed pizza staff rude inattentive flavors unbalanced disappointing place looked poorly maintained meal disappointing from start finish definitely not worth price,negative
poor experience fries texture unpleasant staff rude inattentive dining room dirty uncomfortable will not order again,negative
tables clean music nice such good experience pasta arrived hot looked great service quick professional will order again,positive
really enjoyed chocolate cake presentation beautiful taste matched team handled everything smoothly comfortable place dinner come back,positive
poor experience fries because arrived cold looked unappetizing waited far too long before anyone helped poor value money meal disappointing from start finish honestly,negative
great experience fresh salad waiter checked right time fresh tasty filling comfortable place dinner flavors memorable great value price,positive
not impressed grilled chicken arrived cold looked unappetizing dining room dirty uncomfortable nobody seemed interested helping not come back,negative
disappointed seafood platter greasy not enjoyable service extremely slow place looked poorly maintained left disappointed,negative
comfortable place dinner one best things here grilled chicken flavorful cooked perfectly service quick professional left satisfied,positive
frustrated fries overcooked lacked flavor ask several times basic things place looked poorly maintained left disappointed honestly,negative
tables clean music nice impressed seafood platter ingredients tasted high quality staff friendly attentive great value price,positive
frustrated coffee portion small disappointing place looked poorly maintained staff rude inattentive will not order again btw,negative
poor experience breakfast much worse than expected uncomfortable crowded nobody seemed interested helping not come back,negative
one best things here lentil soup everything tasted fresh well seasoned place felt welcoming well maintained everyone welcoming helpful solid choice dinner,positive
absolutely loved coffee waiter checked right time everything tasted fresh well seasoned tables clean music nice meal satisfying from start finish definitely worth visit href,positive
happily recommend chocolate cake flavorful cooked perfectly comfortable place dinner everyone welcoming helpful definitely worth visit,positive
frustrated pasta flavors unbalanced disappointing uncomfortable crowded ask several times basic things poor value money,negative
bad experience fries bland poorly cooked service felt disorganized dining room dirty uncomfortable definitely not worth price,negative
loved vegetable couscous because flavors balanced satisfying staff friendly attentive left satisfied,positive
atmosphere noisy unpleasant not impressed breakfast presentation careless food tasted worse service extremely slow poor value money,negative
great experience breakfast portion generous fresh dining room clean comfortable everyone welcoming helpful definitely worth visit,positive
table dirty when arrived disappointed burger overcooked lacked flavor service felt disorganized choose another restaurant next time btw,negative
such good experience cheesecake texture excellent place felt welcoming well maintained service quick professional definitely worth visit,positive
dining room dirty uncomfortable regret ordering fries greasy not enjoyable service felt disorganized left disappointed idk,negative
absolutely loved breakfast service quick professional flavors balanced satisfying tables clean music nice price felt reasonable quality great value price,positive
pleasantly surprised grilled chicken because better than expected service quick professional come back flavors memorable,positive
great experience sandwiches because portion generous fresh team handled everything smoothly great value price,positive
not recommend fresh salad ingredients did not taste fresh staff rude inattentive table dirty when arrived will not order again btw,negative
absolutely loved vegetable couscous because presentation beautiful taste matched greeted warmly served quickly solid choice dinner,positive
regret ordering fries greasy not enjoyable place looked poorly maintained waited far too long before anyone helped definitely not worth price,negative
comfortable place dinner happy cheesecake everything tasted fresh well seasoned staff friendly attentive left satisfied href,positive
really unhappy fries much worse than expected uncomfortable crowded nobody seemed interested helping not come back,negative
disappointed burger nobody seemed interested helping flavors unbalanced disappointing place looked poorly maintained quality inconsistent poor value money,negative
disappointed coffee service extremely slow portion small disappointing atmosphere noisy unpleasant meal disappointing from start finish not come back,negative
pleasantly surprised seafood platter arrived hot looked great waiter checked right time place felt welcoming well maintained left satisfied,positive
tables clean music nice pleasantly surprised coffee fresh tasty filling waiter checked right time left satisfied,positive
regret ordering chocolate cake bland poorly cooked service felt disorganized table dirty when arrived not come back,negative
absolutely loved fresh salad everything tasted fresh well seasoned everyone welcoming helpful place felt welcoming well maintained solid choice dinner,positive
really enjoyed lentil soup greeted warmly served quickly texture excellent place felt welcoming well maintained everything came out nicely timed left satisfied,positive
disappointed fresh salad overcooked lacked flavor staff rude inattentive uncomfortable crowded choose another restaurant next time,negative
unfortunately disliked fries portion small disappointing table dirty when arrived service extremely slow left disappointed honestly,negative
regret ordering breakfast arrived cold looked unappetizing ask several times basic things atmosphere noisy unpleasant left disappointed,negative
disappointed sandwiches because arrived cold looked unappetizing service extremely slow will not order again price did not match quality honestly,negative
comfortable place dinner pleasantly surprised lemonade presentation beautiful taste matched waiter checked right time solid choice dinner,positive
great experience burger flavorful cooked perfectly tables clean music nice greeted warmly served quickly definitely worth visit,positive
poor experience sandwiches ingredients did not taste fresh ask several times basic things table dirty when arrived not come back,negative
impressed seafood platter portion generous fresh tables clean music nice waiter checked right time definitely worth visit href,positive
uncomfortable crowded really unhappy cheesecake arrived cold looked unappetizing service extremely slow poor value money,negative
atmosphere noisy unpleasant bad experience pizza arrived cold looked unappetizing nobody seemed interested helping poor value money,negative
uncomfortable crowded unfortunately disliked grilled chicken portion small disappointing staff rude inattentive left disappointed,negative
disappointed cheesecake bland poorly cooked staff rude inattentive uncomfortable crowded not come back,negative
disappointed sandwiches overcooked lacked flavor service extremely slow uncomfortable crowded not come back,negative
disappointed sandwiches waited far too long before anyone helped overcooked lacked flavor atmosphere noisy unpleasant expected much better money left disappointed,negative
such good experience steak because fresh tasty filling staff friendly attentive come back price felt reasonable quality,positive
impressed pasta waiter checked right time texture excellent dining room clean comfortable meal satisfying from start finish great value price,positive
one best things here lemonade ingredients tasted high quality tables clean music nice everyone welcoming helpful left satisfied,positive
impressed grilled chicken because fresh tasty filling service quick professional definitely worth visit,positive
absolutely loved lemonade because everything tasted fresh well seasoned greeted warmly served quickly left satisfied flavors memorable,positive
great experience grilled chicken service quick professional flavors balanced satisfying tables clean music nice price felt reasonable quality will order again,positive
not recommend sandwiches presentation careless food tasted worse table dirty when arrived ask several times basic things poor value money btw,negative
place felt welcoming well maintained one best things here fries texture excellent waiter checked right time definitely worth visit,positive
unfortunately disliked pasta much worse than expected nobody seemed interested helping place looked poorly maintained will not order again,negative
regret ordering fresh salad because ingredients did not taste fresh service felt disorganized poor value money price did not match quality,negative
frustrated coffee much worse than expected uncomfortable crowded waited far too long before anyone helped choose another restaurant next time,negative
pleasantly surprised steak flavorful cooked perfectly atmosphere relaxed pleasant waiter checked right time left satisfied,positive
pleasantly surprised cheesecake waiter checked right time fresh tasty filling tables clean music nice meal satisfying from start finish solid choice dinner,positive
happily recommend vegetable couscous staff friendly attentive better than expected tables clean music nice flavors memorable great value price,positive
really enjoyed breakfast texture excellent place felt welcoming well maintained everyone welcoming helpful definitely worth visit,positive
